,Unnamed: 0,id,facebook_id,page_name,page_type,degree_centerality,betweenness_centerality,closeness_centrality
0,0,0,145647315578475,The Voice of China 中国好声音,tvshow,4.682744088035589e-05,0.0,0.18248192966783075
1,1,1,191483281412,U.S. Consulate General Mumbai,government,0.0015921329899321,0.0001384205231285,0.2577518268271139
2,2,2,144761358898518,ESET,company,0.0005619292905642,3.082197007114958e-06,0.18953983719262726
3,3,3,568700043198473,Consulate General of Switzerland in Montreal,government,0.0004682744088035,5.271219890561375e-05,0.21900677420926945
4,4,4,1408935539376139,Mark Bailey MP - Labor for Miller,politician,0.0023881994848981,0.0001173294345224,0.23038748244076
5,5,5,134464673284112,Victor Dominello MP,politician,0.0010302036993678,6.555938286515722e-05,0.22831333258817432
6,6,6,282657255260177,Jean-Claude Poissant,politician,0.0007492390540856,2.352926791286238e-05,0.20674457121825543
7,7,7,239338246176789,Deputado Ademir Camilo,politician,0.000140482322641,2.941936618458363e-07,0.1867778350429766
8,8,8,544818128942324,T.C. Mezar-ı Şerif Başkonsolosluğu,government,0.000140482322641,1.0506269783535168e-05,0.18711380556619644
9,9,9,285155655705,Army ROTC Fighting Saints Battalion,government,9.365488176071178e-05,0.0,0.2277001965990393
10,10,10,295294787190810,NASA Student Launch,government,0.000140482322641,0.0,0.22809546529688246
11,11,11,837707072929819,Eliziane Gama,politician,0.0001873097635214,2.395755477403932e-07,0.2044513598849853
12,12,12,189778427932,Socialstyrelsen,government,,,0.19582705095913333
13,13,13,153345494745119,Brisbane Water LAC - NSW Police Force,government,0.000796066494966,6.201580741913787e-06,0.2238148838043251
14,14,14,374623305761,NASA's Marshall Space Flight Center,government,0.0025286818075392,7.841219482373445e-05,0.24887298827021698
15,15,15,135948233146402,Municipio de Lomas de Zamora,government,0.000140482322641,8.213351742040082e-07,0.1771276763472393
16,16,16,218961468129322,Die Techniker (TK),company,4.682744088035589e-05,0.0,0.1448566197328382
17,17,17,603089303044139,Digvijaya Singh,politician,0.000140482322641,1.371771813104851e-05,0.19810264413115736
18,18,18,107219255341,1st Armored Division Sustainment Brigade,government,0.0017794427534535,7.299418419448989e-06,0.244005473263542
19,19,19,288891469878,Shapeways,company,0.0004682744088035,0.0005752985599564,0.2644625180965384
20,20,20,200750393327673,Françoise Guégot,politician,4.682744088035589e-05,0.0,0.2084844998283429
21,21,21,312378712151391,Hydro Coco,company,9.365488176071178e-05,8.771647631423787e-09,0.16386018392246376
22,22,22,197257747038268,Embassy of the Netherlands in Uganda,government,0.0013111683446499,0.000201197366592,0.22908382781754041
23,23,23,121925517901889,Ford Danmark,company,0.0001873097635214,6.66326228027785e-08,0.20431378611113638
24,24,24,127122004049986,Schweppes Australia,company,0.0001873097635214,2.2971171814196497e-05,0.21506168821845956
25,25,25,9615015947,TalkTalk,company,0.0002341372044017,3.760669925225726e-05,0.216328888460983
26,26,26,136577286212,National Institute of General Medical Sciences,government,0.0014048232264106,2.441042292965178e-07,0.22255128217826686
27,27,27,220206968012871,Poppy Cat,tvshow,,,0.2001015246508977
28,28,28,77064798220,Tahiti Tourisme,company,0.0001873097635214,1.5602127895323094e-06,0.20685686929783376
29,29,29,314467271901260,Marriott Rewards,company,0.0005619292905642,0.0001050752842552,0.2370397721278616
30,30,30,239470792802382,TeleCentro,company,0.0002341372044017,0.0003521017217422,0.23336899284386328
31,31,31,1087372227969105,Ministerio de Comunicaciones de la República Argentina,government,0.0004682744088035,6.7964651529653066e-06,0.2124346453119534
32,32,32,115144905195604,Policía Nacional de los Colombianos,government,0.0020135799578553,0.0010688347843099,0.2431104811572877
33,33,33,139151419572310,Lance Gooden,politician,9.365488176071178e-05,0.0,0.1943298478676388
34,34,34,324560137683033,Ivan ŠTEFANEC,politician,9.365488176071178e-05,2.736983830698675e-07,0.20607522493190136
35,35,35,115178951868510,Omoda,company,,,0.201308067912019
36,36,36,334483838309,Sunrun,company,0.0001873097635214,4.4056825065928304e-05,0.21823038073038073
37,37,37,367794192480,NCBI - National Center for Biotechnology Information,government,0.000796066494966,1.4852681447630044e-05,0.223672291075606
38,38,38,312747342102625,T.C. Niamey Büyükelçiliği/ Ambassade de Turquie à Niamey,government,,,0.19718297498903029
39,39,39,403071946500795,Tennessee Secretary of State,government,0.0007492390540856,0.000245113477848,0.23017507196492415
40,40,40,180099508994152,張宏陸,politician,0.0002341372044017,3.654853179759911e-10,0.1819042915779503
41,41,41,30577197161,Nuevo León Extraordinario,government,0.0010770311402481,0.0002567316737328,0.21793404461687682
42,42,42,57816252527,Honey Bunches of Oats,company,,,0.21993931088488644
43,43,43,216178818416755,St. Cloud VA Health Care System,government,0.0006087567314446,1.0773114494315283e-06,0.21902812301993468
44,44,44,1507698529534072,APB FOX,tvshow,0.0027628190119409,5.960660179814453e-08,0.21802074539826702
45,45,45,5830082681,Volaris,company,0.0005619292905642,0.0004064638290792,0.24024078608316315
46,46,46,391321314263162,Eduardo Barbosa,politician,0.0004214469679232,3.834055595401755e-06,0.20514576314516056
47,47,47,518989818298491,Service de police de la Ville de Montréal - SPVM,government,0.0006087567314446,0.0007078370154001,0.24241541515622303
48,48,48,327771217264764,Hotel Indigo,company,0.0001873097635214,4.6592501553069805e-05,0.21193970721400543
49,49,49,130096562306,Digicel,company,0.001451650667291,0.0010710328874365,0.2625097846786536
50,50,50,126291660767367,Alabama Ecological Services Field Office,government,0.0008897213767267,1.2634029263897318e-05,0.2487710363153233
