id,facebook_id,page_name,page_type,degree_centerality,betweenness_centerality,closeness_centrality,community_id
0,145647315578475,The Voice of China 中国好声音,tvshow,4.682744088035589e-05,0.0,0.1824819296678307,53
1,191483281412,U.S. Consulate General Mumbai,government,0.0015921329899321,0.0001384205231285,0.2577518268271139,28
2,144761358898518,ESET,company,0.0005619292905642,3.082197007114958e-06,0.1895398371926272,22
3,568700043198473,Consulate General of Switzerland in Montreal,government,0.0004682744088035,5.271219890561375e-05,0.2190067742092694,50
4,1408935539376139,Mark Bailey MP - Labor for Miller,politician,0.0023881994848981,0.0001173294345224,0.23038748244076,39
5,134464673284112,Victor Dominello MP,politician,0.0010302036993678,6.555938286515722e-05,0.2283133325881743,39
6,282657255260177,Jean-Claude Poissant,politician,0.0007492390540856,2.352926791286238e-05,0.2067445712182554,58
7,239338246176789,Deputado Ademir Camilo,politician,0.000140482322641,2.941936618458363e-07,0.1867778350429766,55
8,544818128942324,T.C. Mezar-ı Şerif Başkonsolosluğu,government,0.000140482322641,1.0506269783535168e-05,0.1871138055661964,17
9,285155655705,Army ROTC Fighting Saints Battalion,government,9.365488176071178e-05,0.0,0.2277001965990393,30
10,295294787190810,NASA Student Launch,government,0.000140482322641,0.0,0.2280954652968824,34
11,837707072929819,Eliziane Gama,politician,0.0001873097635214,2.395755477403932e-07,0.2044513598849853,55
12,189778427932,Socialstyrelsen,government,,,0.1958270509591333,25
13,153345494745119,Brisbane Water LAC - NSW Police Force,government,0.000796066494966,6.201580741913787e-06,0.2238148838043251,39
14,374623305761,NASA's Marshall Space Flight Center,government,0.0025286818075392,7.841219482373445e-05,0.2488729882702169,34
15,135948233146402,Municipio de Lomas de Zamora,government,0.000140482322641,8.213351742040082e-07,0.1771276763472393,57
16,218961468129322,Die Techniker (TK),company,4.682744088035589e-05,0.0,0.1448566197328382,12
17,603089303044139,Digvijaya Singh,politician,0.000140482322641,1.371771813104851e-05,0.1981026441311573,59
18,107219255341,1st Armored Division Sustainment Brigade,government,0.0017794427534535,7.299418419448989e-06,0.244005473263542,30
19,288891469878,Shapeways,company,0.0004682744088035,0.0005752985599564,0.2644625180965384,46
20,200750393327673,Françoise Guégot,politician,4.682744088035589e-05,0.0,0.2084844998283429,21
21,312378712151391,Hydro Coco,company,9.365488176071178e-05,8.771647631423787e-09,0.1638601839224637,50
22,197257747038268,Embassy of the Netherlands in Uganda,government,0.0013111683446499,0.000201197366592,0.2290838278175404,46
23,121925517901889,Ford Danmark,company,0.0001873097635214,6.66326228027785e-08,0.2043137861111363,25
